NOME,TAG,CLASSE_APRESENTACAO,FANTASIA_APRESENTACAO,DOSE_APRESENTACAO,UNI_APRESENTACAO,VOLUME_APRESENTACAO,PAGINA,RESUMO_INDICACAO,TEXTO_INDICACAO,DILUICAO,DOSE_SOLUCAO,VOLUME_SOLUCAO,DOSE_01,UNI_01,DOSE_02,VOL_MANU,DESCRICAO,COLATERAIS,ADMINISTRACAO
Fentanil,"analgesico,sedoanalgesia,opioide",Sedativo,250mcg/10mL (50mcg/mL),250,mcg,10,sedativo,Sedoanalgesia contínua,,5 frascos (50mL) + SF 0.9% 50mL ,1250,100,1-3,kg/h,,,Analgésico opióide. Pode gerar instabilidade hemodinâmica.,,BIC
Propofol,"sedativo,sedoanalgesia",Sedativo,200mg/20mL (10mg/mL),200,mg,20,sedativo,Sedoanalgesia contínua por curto período,,puro,1000,100,0.3-3,kg/h,,,Sedativo. Pode gerar cardiodepressão.,,BIC
Midazolam,"sedativo,sedoanalgesia",Sedativo,50mg/10mL (5mg/mL),50,mg,10,sedativo,Sedoanalgesia contínua,,5 frascos (50mL) + SF 0.9% 50mL,250,100,0.02-0.2,kg/h,,,Sedativo benzodiazepínico. Pode gerar cardiodepressão,,BIC
Dexmedetomidina,"sedativo,sedoanalgesia",Sedativo,200mcg/2mL (100mcg/mL),200,mcg,2,sedativo,Sedativo leve (ideal no desmame de sedativos e ventilação),,2 frascos (04mL) + SF 0.9% 96mL,400,100,0.2-1.4,kg/h,,,Sedativo alfa-adrenérgico central com baixa depressão respiratória,,BIC
Noradrenalina (simples),"dva,alfa-agonista,vasopressor",Droga vasoativa,16mg/4mL (4mg/mL),16000,mcg,4,dva,Vasopressor de primeira linha,"Agonista alfa e beta-adrenérgico; vasopressor forte e inotrópico leve. Droga de primeira linha no choque, síndrome hepatorrenal e outras várias situações. Iniciar dose baixa a moderada e titular a cada 5 minutos conforme meta pressórica e perfusão.",4 frascos (16mL) + SG 5% 234mL,16000,250,0.05-1.5,kg/min,,,Vasopressor alfa-adrenérgico,,BIC
Noradrenalina (dobrada),"dva,alfa-agonista,vasopressor",Droga vasoativa,16mg/4mL (4mg/mL),32000,mcg,4,dva,Vasopressor de primeira linha,Análoga a noradrenalina simples. É mais utilizada em pacientes que não toleram volume ou que estão em uso de altas doses de noradrenalina simples (tipicamente ≥ 20ml/h). Iniciar dose baixa a moderada e titular a cada 5 minutos conforme meta pressórica e perfusão.,8 frascos (32mL) + SG 5% 218mL,32000,250,0.05-1.5,kg/min,,,Vasopressor alfa-adrenérgico,,BIC
Dobutamina,"dva,beta-agonista,inotropico",Droga vasoativa,250mg/20mL (12.5mg/mL),250000,mcg,20,dva,Inotrópico de primeira linha,"Agonista beta-adrenérgico forte, aumenta inotropismo e pode gerar vasodilatação leve. Medicação de escolha no choque cardiogênico e ICC descompensada (perfil C). Mais seguro utilizar em paciente com PAS > 90mmHg.  Iniciar em dose baixa a moderada e titular a cada 5 minutos conforme meta pressórica e perfusão.",2 frascos (40mL) + SG 5% 210mL,500000,250,2.5-20,kg/min,,,Vasopressor beta-adrenérgico inotrópico positivo,,BIC
Dobutamina (dobrada),"dva,beta-agonista,inotropico",Droga vasoativa,250mg/20mL (12.5mg/mL),250000,mcg,20,dva,Inotrópico de primeira linha,Análoga a dobutamina simples. É mais utilizada em pacientes que não toleram volume ou que estão em uso de altas doses de dobutamina simples. Mais seguro utilizar em paciente com PAS > 90mmHg.  Iniciar em dose baixa a moderada e titular a cada 5 minutos conforme meta pressórica e perfusão.,4 frascos (80mL) + SG 5% 170mL,1000000,250,2.5-20,kg/min,,,Vasopressor beta-adrenérgico inotrópico positivo,,BIC
Nitroglicerina,"dva,antianginoso,vasodilatador",Droga vasoativa,50mg/10mL (5mg/mL),50000,mcg,10,dva,Vasodilatador e antianginoso,,1 frasco (10mL) + SF 0.9% 240mL,50000,250,0.5-10,min,,,Vasodilatador coronariano e sistêmico venoso,,BIC
Nitroprussiato de Sódio,"dva,vasodilatador",Droga vasoativa,50mg/2mL (25mg/mL),50000,mcg,2,dva,Vasodilatador arterial e venoso,,1 frasco (02mL) + SG 5% 248mL,50000,250,0.5-10,kg/min,,,Vasodilatador arterial e venoso,,BIC
Adrenalina,"dva,alfa-agonista,beta-agonista,inotropico,cronotropico",Droga vasoativa,(1mg/mL),1000,mcg,1,dva,Vasopressor e inotrópico - pouco usado,,16 frascos (16mL) + SG 5% 234mL,16000,250,1-10,min,,,Vasopressor adrenérgico,,BIC
Vasopressina,"dva,vasopressor",Droga vasoativa,(20U/mL),20,U,1,dva,Vasopressor puro (geralmente segunda droga na sepse),Agonista V1 e V2; vasopressor não-adrenérgico. Geralmente utilizado como segunda droga em sinergismo com noradrenalina.,1 frasco (20U) + SG 5% 99mL,20,100,0.01-0.04,min,,,Vasopressor não-adrenérgico,,BIC
Insulina Regular,insulina,Insulina,(100U/ml),1000,U,10,insulina,,,01mL + SF 0.9% 99mL,100,100,,,,,,,BIC
Glulisina,insulina,Insulina,(100U/mL),100,U,1,insulina,,,01mL + SF 0.9% 99mL,100,100,,,,,,,BIC
Adrenalina,"pcr,acls",Droga vasoativa,(1mg/mL),1,mg,1,pcr,,,1 frasco (01mL) + AD 9mL,1,10,1,fix,1,1,Primeira dose após 2º choque ou quando identificado ritmo não chocável. Repetir dose a cada 3-5min,,BOLUS-FLUSH
Amiodarona,"pcr,acls,antiarritmico",Antiarrítmico,150mg/3mL (50mg/mL),150,mg,3,pcr,,,puro,300,6,300,fix,150,3,Primeira dose após 3º choque. Pode ser repetida (metade da dose),,BOLUS-FLUSH
Bicarbonato de Sódio 8.4% (ampola),"pcr,acls",Outros,8.4% (1mEq/mL),10,mEq,10,pcr,,,puro,10,10,1.0-2.0,fix/kg,0.75,,Primeira dose completa. Pode ser repetida a cada 15min (metade da dose),,EVABERTO
Bicarbonato de Sódio 8.4% (frasco),"pcr,acls",Outros,8.4% (1mEq/mL),250,mEq,250,pcr,,,puro,250,250,1.0-2.0,fix/kg,0.75,,Primeira dose completa. Pode ser repetida a cada 15min (metade da dose),,EVABERTO
Gluconato de Cálcio 10%,"pcr,acls",Eletrólitos,(1g/mL),1,g,10,pcr,,,puro,3,30,3,fix,,,Pode ser repetida a cada 2-5min,,EVABERTO
Sulfato de Magnésio 10%,"pcr,acls,antiarritmico",Eletrólitos,(1g/mL),1,g,10,pcr,,,puro,2,20,2,fix,,,"Dose de ataque 1-2g EV, manutenção de 0.5-2g/h",,BOLUS-FLUSH
Lidocaína 2%,"pcr,acls,antiarritmico,analgesico",Antiarrítmico,400mg/20mL (20mg/mL),400,mg,20,pcr,,,puro,40,20,1-1.5,fix/kg,,,,,BOLUS-FLUSH
Etomidato ,"iot,sri,sedativo",Sedativo,20mg/10mL (2mg/mL),20,mg,10,iot,Sedativo cardioestável para SRI,"Sedativo para SRI, derivado imidazólico hipnótico cardioestável. Principal sedativo usado hoje, primeira escolha em pacientes com instabilidade hemodinâmica. Considerar outro em caso de sepse (evidência de insuficiência adenal dose dependente)",puro,20,10,0.3,fix/kg,,,Início de ação até 45 segundos; duração de 3-12 minutos,,BOLUS
Cetamina,"iot,sri,sedativo",Sedativo,100mg/2mL (50mg/mL),100,mg,2,iot,Sedativo cardioestável para SRI,"Sedativo para SRI e SAI e analgésico dissociativo. Primeira escolha no broncoespasmo, instabilidade hemodinâmica, incluindo sépticos. Em dose baixa e infusão lenta gera efeito dissociativo com manutenção de drive respiratório.",1 frasco (2mL) + AD 8mL,100,10,1.5,fix/kg,,,Início de ação até 60 segundos; duração 10-20 minutos.,,BOLUS
Propofol,"iot,sri,sedativo",Sedativo,200mg/20mL (10mg/mL),200,mg,20,iot,Sedativo para SRI (evitar no choque),Sedativo para SRI. Bom no broncoespasmo e hipertensão intracraniana. Evitar nos casos de instabilidade hemodinâmica.,puro,200,20,1.5,fix/kg,,,Início de ação até 45 segundos; duração 5-10 minutos. A dose pode ser reduzida em 1/3 ou 1/2 em pacientes comprometidos ou idosos,,BOLUS
Midazolam,"iot,sri,sedativo",Sedativo,15mg/3mL (5mg/mL),15,mg,3,iot,Sedativo para SRI (pouco usado),"Sedativo para SRI, benzodiazepínico amnestésico. Pode ser considerar em abstinência alcoólica e crise convulsiva. Evitar de maneira geral devido ao início de ação lento e comprometimento hemodinâmico.",1 frasco (3mL) + AD 7mL,15,10,0.2-0.3,fix/kg,,,Início de ação até 1m30s; duração de 15-30 minutos,,BOLUS
Succinilcolina,"iot,sri,bnm",BNM,100mg/frasco,100,mg,0,iot,BNM para SRI (atenção às contraindicações),"BNM despolarizante mais usado na SRI. Tem efeito rápido causando fasciculações. Evitar em paciente com: grade queimadura, hipercalemia,  miopatia e desnervação (TRM, AVC, ...), lesão por esmagamento, história de hipertermia maligna. Pode gerar hipercalemia, bradicardia, trismo e hipertermia maligna.",1 frasco (em pó) + AD 10mL,100,10,1.5,fix/kg,,,Início de ação até 45 segundos; duração de 6-10 minutos. A dose pode ser aumentada para 0.2mg/kg em situações de choque hemodinâmico.,Pode gerar fasciculações; hipercalemia (especialmente em vítima de queimadura; desnervação; lesões por esmagamento; miopatias e infecções graves). É contraindicado em pacientes com antecedente de hipertermia maligna.,BOLUS
Rocurônio,"iot,sri,bnm",BNM,50mg/5mL (10mg/mL),50,mg,5,iot,BNM para SRI,BNM não despolarizante usado na SRI. É o bloqueador preferido na emergência pela ausência de efeitos adversos graves e existência de antídoto (sugamadex).,puro,50,5,1.0-1.5,fix/kg,,,Início de ação até 60 segundos; duração de 40-60 minutos.,,BOLUS
Adenosina,"acls,antiarritmico,taquicardia",Antiarrítmico,6mg/2mL (3mg/mL),6,mg,2,arritmia,,,puro,6,2,6,fix,12,,Realizar medicação em bolus rápido com membro elevado em trendelemburg inverso,,BOLUS-FLUSH
Atropina,"acls,antiarritmico,bradicardia",Antiarrítmico,0.25mg/1mL (0.25mg/mL),0.25,mg,1,arritmia,,,4 frascos (1mg),0.25,1,1,fix,,,Realizar 1mg. A dose pode ser repetida a cada 5min até 3 vezes.,,BOLUS
Amiodarona,"acls,antiarritmico,taquicardia",Antiarrítmico,150mg/3mL (50mg/mL),150,mg,3,arritmia,,,1 frasco (3mL) + 100mL SG 5%,150,100,150,fix,,,"Correr em 10 minutos. Em caso de arritmia refratária, a dose pode ser repetida em outra vez após 10 minutos.",,EVABERTO
